item_id,item_name,description,item_type,target_type,quantity,can_use_in_battle,can_use_in_field,equipment_slot,weapon_type,attack_bonus,defense_bonus,speed_bonus,credit_value,max_durability,current_durability,is_consumable,heal_amount,energy_restore,mana_restore,health_restore,effects,effect_amount,effect_element,effect_stat,icon_path
gem_data_quartz,Data-Quartz,A glowing crystal containing fractured source code from the elven mainframes.,MISC,NONE,1,FALSE,FALSE,NONE,NONE,0,0,0,100,100,100,FALSE,0,0,0,0,,0,NONE,,res://Assets/Icons/Items/data_quartz.png
gem_cyber_soul,Cyber-Soul Gem,A synthetic gemstone that traps wandering digital spirits.,MISC,NONE,1,FALSE,FALSE,NONE,NONE,0,0,0,500,100,100,FALSE,0,0,0,0,,0,NONE,,res://Assets/Icons/Items/cyber_soul.png
gem_neon_ruby,Neon Ruby,Radiates a harsh crimson light. Highly valued by street-alchemists.,MISC,NONE,1,FALSE,FALSE,NONE,NONE,0,0,0,300,100,100,FALSE,0,0,0,0,,0,NONE,,res://Assets/Icons/Items/neon_ruby.png
gem_flux_sapphire,Flux Sapphire,Constantly shifts between physical and holographic states.,MISC,NONE,1,FALSE,FALSE,NONE,NONE,0,0,0,350,100,100,FALSE,0,0,0,0,,0,NONE,,res://Assets/Icons/Items/flux_sapphire.png
gem_synth_diamond,Synthetic Diamond,"Flawless, compressed carbon woven with arcane nano-threads.",MISC,NONE,1,FALSE,FALSE,NONE,NONE,0,0,0,800,100,100,FALSE,0,0,0,0,,0,NONE,,res://Assets/Icons/Items/synth_diamond.png
gem_aether_chip,Aether-Chip,A shard of pure magic shaped into a standard processing unit.,MISC,NONE,1,FALSE,FALSE,NONE,NONE,0,0,0,450,100,100,FALSE,0,0,0,0,,0,NONE,,res://Assets/Icons/Items/aether_chip.png
gem_corrupt_emerald,Corrupted Emerald,A green jewel bleeding with malicious glitch-magic.,MISC,NONE,1,FALSE,FALSE,NONE,NONE,0,0,0,200,100,100,FALSE,0,0,0,0,,0,NONE,,res://Assets/Icons/Items/corrupt_emerald.png
gem_mana_battery,Mana-Battery,An unrefined crystal geode that holds raw magical charge.,MISC,NONE,1,FALSE,FALSE,NONE,NONE,0,0,0,150,100,100,FALSE,0,0,0,0,,0,NONE,,res://Assets/Icons/Items/mana_battery.png
gem_glow_opal,Glow-Opal,Bioluminescent gem found in the toxic techno-caverns.,MISC,NONE,1,FALSE,FALSE,NONE,NONE,0,0,0,250,100,100,FALSE,0,0,0,0,,0,NONE,,res://Assets/Icons/Items/glow_opal.png
gem_quantum_topaz,Quantum Topaz,"Exists in multiple realities at once, warm to the touch.",MISC,NONE,1,FALSE,FALSE,NONE,NONE,0,0,0,600,100,100,FALSE,0,0,0,0,,0,NONE,,res://Assets/Icons/Items/quantum_topaz.png
con_health_vial,Neon-Tinged Health Vial,Restores physical tissue using arcane-infused nanites.,POTION,SINGLE_PARTY_MEMBER,1,TRUE,TRUE,NONE,NONE,0,0,0,50,1,1,TRUE,200,0,0,200,,0,NONE,,res://Assets/Icons/Items/health_vial.png
con_cyber_ration,Cyber-Ration,Tasteless protein block enriched with healing magic.,CONSUMABLE,SINGLE_PARTY_MEMBER,1,FALSE,TRUE,NONE,NONE,0,0,0,25,1,1,TRUE,50,20,0,50,,0,NONE,,res://Assets/Icons/Items/cyber_ration.png
con_mana_stim,Mana-Stim,Injectable liquid mana. Tastes like ozone.,POTION,SINGLE_PARTY_MEMBER,1,TRUE,TRUE,NONE,NONE,0,0,0,75,1,1,TRUE,0,0,150,0,,0,NONE,,res://Assets/Icons/Items/mana_stim.png
con_synth_elixir,Synthetic Elixir,A powerful cocktail of magic and science.,POTION,SINGLE_PARTY_MEMBER,1,TRUE,TRUE,NONE,NONE,0,0,0,200,1,1,TRUE,300,50,300,300,,0,NONE,,res://Assets/Icons/Items/synth_elixir.png
con_raddart,Radium Dart,Projectial Weapon with Exploding Core that deals extra damage,WEAPON,SINGLE_ENEMY,20,TRUE,FALSE,LEFT_HAND,RANGED,10,0,0,150,1,1,TRUE,0,0,0,0,,1.5,FIRE,,res://Data/Items/ammo.png
eq_mithril_vest,Kevlar Mithril Vest,"Lightweight, bulletproof, and resistant to low-level hexes.",ARMOR,NONE,1,FALSE,TRUE,BODY,NONE,0,35,0,450,100,100,FALSE,0,0,0,0,,0,NONE,,res://Assets/Icons/Items/mithril_vest.png
eq_aero_boots,Aero-Boots,Magically enchanted thruster boots for superior agility.,ARMOR,NONE,1,FALSE,TRUE,FEET,NONE,0,10,25,300,100,100,FALSE,0,0,0,0,,0,NONE,,res://Assets/Icons/Items/aero_boots.png
eq_holo_visor,Holo-Visor,Projects tactical spell-trajectories directly into the retina.,ARMOR,NONE,1,FALSE,TRUE,HEAD,NONE,5,15,0,250,100,100,FALSE,0,0,0,0,,0,NONE,,res://Assets/Icons/Items/holo_visor.png
eq_rune_gauntlets,Runed Cyber-Gauntlets,Heavy mechanical arms inscribed with dwarven runes of power.,ARMOR,NONE,1,FALSE,TRUE,ARMS,NONE,15,20,-5,500,100,100,FALSE,0,0,0,0,,0,NONE,,res://Assets/Icons/Items/rune_gauntlets.png
